term,category
세계앞에서,badge
핵보유국의 전렬,badge
핵보유국지위,badge
핵강국의 전렬,badge
당당한 핵보유국,badge
최첨단핵,badge
세기적인 기적,badge
국가핵무력완성,badge
힘의 대결,badge
동방의 핵강국,badge
자랑스러운,badge
세상에 없다,badge
신뢰성,badge
세계적인 핵,badge
조미대결,badge
당황,badge
힘찬 진군,badge
공화국핵무력,badge
정의의 핵억제력,badge
기술적우세,badge
힘의 대결,badge
대결시대,badge
전략적지위,badge
놀라,badge
우리 식,badge
초강도,badge
더 위력한,badge
무진막강한,badge
핵반격,sword
가해질것,sword
전쟁밖에,sword
핵에는 핵으로,sword
민족의 생명이,sword
핵전투,sword
핵타격무장,sword
핵공격태세,sword
핵선제타격권,sword
섬멸의 포문,sword
전멸,sword
종국적파멸,sword
핵공격능력,sword
핵무력강화,sword
경고,sword
전투태세,sword
핵보검,sword
전투준비태세,sword
조미핵대결전,sword
전쟁상태,sword
막을수 없다,sword
자멸,sword
교전관계,sword
보복타격,sword
주체무기,sword
위력한 보검,sword
장검,sword
정밀핵타격수단,sword
우리의 생존,shield
대조선핵선제공격,shield
미국의 핵선제공격,shield
방패로,shield
우리에 대한 핵선제공격,shield
핵위협이 가증,shield
핵악몽,shield
미국의 핵전쟁도발,shield
미국의 핵전쟁도발책동,shield
외부의 핵위협,shield
평화수호,shield
정당방위,shield
반핵,shield
평화적핵,shield
핵선제공격대상으로,shield
핵전쟁위협,shield
침략정책,shield
북침핵전쟁연습,shield
핵전쟁발발,shield
핵위협공갈,shield
방위력,shield
불장난,shield
평화적환경,shield
자위적,shield
핵전쟁책동,shield
생존권,shield
평화보장,shield
위협당하고,shield
핵재난,shield
전쟁광,shield
